scenario_id,map_index,trial,team_size,seed,communication_mode,start_positions,selected_start_seed,start_cells,source_method
map_0000_trial_01_robots_02_seed_1062_mapcomm_none,0,1,2,1062,none,"[[-20.0,-52.0],[0.0,20.0]]",1062,"[[123, 20], [173, 200]]",full
map_0000_trial_01_robots_02_seed_1062_mapcomm_raw,0,1,2,1062,raw,"[[-20.0,-52.0],[0.0,20.0]]",1062,"[[123, 20], [173, 200]]",full
map_0000_trial_01_robots_04_seed_1082_mapcomm_compressed,0,1,4,1082,compressed,"[[-56.0,8.0],[-52.0,-48.0],[-28.0,-8.0],[-64.0,32.0]]",1082,"[[33, 170], [43, 30], [103, 130], [13, 230]]",full
map_0000_trial_01_robots_04_seed_1082_mapcomm_none,0,1,4,1082,none,"[[-56.0,8.0],[-52.0,-48.0],[-28.0,-8.0],[-64.0,32.0]]",1082,"[[33, 170], [43, 30], [103, 130], [13, 230]]",full
map_0000_trial_01_robots_04_seed_1082_mapcomm_raw,0,1,4,1082,raw,"[[-56.0,8.0],[-52.0,-48.0],[-28.0,-8.0],[-64.0,32.0]]",1082,"[[33, 170], [43, 30], [103, 130], [13, 230]]",full
map_0000_trial_01_robots_06_seed_1102_mapcomm_compressed,0,1,6,1102,compressed,"[[8.0,-24.0],[16.0,16.0],[-36.0,-8.0],[-40.0,-24.0],[-12.0,0.0],[8.0,-52.0]]",1102,"[[193, 90], [213, 190], [83, 130], [73, 90], [143, 150], [193, 20]]",full
map_0000_trial_01_robots_06_seed_1102_mapcomm_none,0,1,6,1102,none,"[[8.0,-24.0],[16.0,16.0],[-36.0,-8.0],[-40.0,-24.0],[-12.0,0.0],[8.0,-52.0]]",1102,"[[193, 90], [213, 190], [83, 130], [73, 90], [143, 150], [193, 20]]",full
map_0000_trial_01_robots_06_seed_1102_mapcomm_raw,0,1,6,1102,raw,"[[8.0,-24.0],[16.0,16.0],[-36.0,-8.0],[-40.0,-24.0],[-12.0,0.0],[8.0,-52.0]]",1102,"[[193, 90], [213, 190], [83, 130], [73, 90], [143, 150], [193, 20]]",full
map_0000_trial_01_robots_08_seed_1122_mapcomm_compressed,0,1,8,1122,compressed,"[[4.0,-28.0],[-44.0,-12.0],[12.0,-52.0],[20.0,16.0],[-12.0,-4.0],[-56.0,-20.0],[-52.0,28.0],[0.0,16.0]]",1122,"[[183, 80], [63, 120], [203, 20], [223, 190], [143, 140], [33, 100], [43, 220], [173, 190]]",full
map_0000_trial_01_robots_08_seed_1122_mapcomm_none,0,1,8,1122,none,"[[4.0,-28.0],[-44.0,-12.0],[12.0,-52.0],[20.0,16.0],[-12.0,-4.0],[-56.0,-20.0],[-52.0,28.0],[0.0,16.0]]",1122,"[[183, 80], [63, 120], [203, 20], [223, 190], [143, 140], [33, 100], [43, 220], [173, 190]]",full
map_0000_trial_01_robots_08_seed_1122_mapcomm_raw,0,1,8,1122,raw,"[[4.0,-28.0],[-44.0,-12.0],[12.0,-52.0],[20.0,16.0],[-12.0,-4.0],[-56.0,-20.0],[-52.0,28.0],[0.0,16.0]]",1122,"[[183, 80], [63, 120], [203, 20], [223, 190], [143, 140], [33, 100], [43, 220], [173, 190]]",full
map_0000_trial_02_robots_02_seed_2062_mapcomm_compressed,0,2,2,2062,compressed,"[[8.0,-48.0],[-36.0,24.0]]",2062,"[[193, 30], [83, 210]]",full
map_0000_trial_02_robots_02_seed_2062_mapcomm_none,0,2,2,2062,none,"[[8.0,-48.0],[-36.0,24.0]]",2062,"[[193, 30], [83, 210]]",full
map_0000_trial_02_robots_02_seed_2062_mapcomm_raw,0,2,2,2062,raw,"[[8.0,-48.0],[-36.0,24.0]]",2062,"[[193, 30], [83, 210]]",full
map_0000_trial_02_robots_04_seed_2082_mapcomm_compressed,0,2,4,2082,compressed,"[[0.0,20.0],[4.0,-24.0],[-60.0,28.0],[-36.0,24.0]]",2082,"[[173, 200], [183, 90], [23, 220], [83, 210]]",full
map_0000_trial_02_robots_04_seed_2082_mapcomm_none,0,2,4,2082,none,"[[0.0,20.0],[4.0,-24.0],[-60.0,28.0],[-36.0,24.0]]",2082,"[[173, 200], [183, 90], [23, 220], [83, 210]]",full
map_0000_trial_02_robots_04_seed_2082_mapcomm_raw,0,2,4,2082,raw,"[[0.0,20.0],[4.0,-24.0],[-60.0,28.0],[-36.0,24.0]]",2082,"[[173, 200], [183, 90], [23, 220], [83, 210]]",full
map_0000_trial_02_robots_06_seed_2102_mapcomm_compressed,0,2,6,2102,compressed,"[[-52.0,-40.0],[-12.0,-52.0],[8.0,16.0],[-44.0,-12.0],[-60.0,-12.0],[0.0,4.0]]",2102,"[[43, 50], [143, 20], [193, 190], [63, 120], [23, 120], [173, 160]]",full
map_0000_trial_02_robots_06_seed_2102_mapcomm_none,0,2,6,2102,none,"[[-52.0,-40.0],[-12.0,-52.0],[8.0,16.0],[-44.0,-12.0],[-60.0,-12.0],[0.0,4.0]]",2102,"[[43, 50], [143, 20], [193, 190], [63, 120], [23, 120], [173, 160]]",full
map_0000_trial_02_robots_06_seed_2102_mapcomm_raw,0,2,6,2102,raw,"[[-52.0,-40.0],[-12.0,-52.0],[8.0,16.0],[-44.0,-12.0],[-60.0,-12.0],[0.0,4.0]]",2102,"[[43, 50], [143, 20], [193, 190], [63, 120], [23, 120], [173, 160]]",full
map_0000_trial_02_robots_08_seed_2122_mapcomm_compressed,0,2,8,2122,compressed,"[[-8.0,8.0],[-8.0,-28.0],[-4.0,24.0],[8.0,-28.0],[-28.0,-24.0],[-44.0,-16.0],[16.0,20.0],[-64.0,-8.0]]",2122,"[[153, 170], [153, 80], [163, 210], [193, 80], [103, 90], [63, 110], [213, 200], [13, 130]]",full
map_0000_trial_02_robots_08_seed_2122_mapcomm_none,0,2,8,2122,none,"[[-8.0,8.0],[-8.0,-28.0],[-4.0,24.0],[8.0,-28.0],[-28.0,-24.0],[-44.0,-16.0],[16.0,20.0],[-64.0,-8.0]]",2122,"[[153, 170], [153, 80], [163, 210], [193, 80], [103, 90], [63, 110], [213, 200], [13, 130]]",full
map_0000_trial_02_robots_08_seed_2122_mapcomm_raw,0,2,8,2122,raw,"[[-8.0,8.0],[-8.0,-28.0],[-4.0,24.0],[8.0,-28.0],[-28.0,-24.0],[-44.0,-16.0],[16.0,20.0],[-64.0,-8.0]]",2122,"[[153, 170], [153, 80], [163, 210], [193, 80], [103, 90], [63, 110], [213, 200], [13, 130]]",full
map_0000_trial_03_robots_02_seed_3062_mapcomm_compressed,0,3,2,3062,compressed,"[[-4.0,0.0],[12.0,16.0]]",3062,"[[163, 150], [203, 190]]",full
map_0000_trial_03_robots_02_seed_3062_mapcomm_none,0,3,2,3062,none,"[[-4.0,0.0],[12.0,16.0]]",3062,"[[163, 150], [203, 190]]",full
map_0000_trial_03_robots_02_seed_3062_mapcomm_raw,0,3,2,3062,raw,"[[-4.0,0.0],[12.0,16.0]]",3062,"[[163, 150], [203, 190]]",full
map_0000_trial_03_robots_04_seed_3082_mapcomm_compressed,0,3,4,3082,compressed,"[[-28.0,-12.0],[-8.0,24.0],[-52.0,8.0],[-48.0,-28.0]]",3082,"[[103, 120], [153, 210], [43, 170], [53, 80]]",full
map_0000_trial_03_robots_04_seed_3082_mapcomm_none,0,3,4,3082,none,"[[-28.0,-12.0],[-8.0,24.0],[-52.0,8.0],[-48.0,-28.0]]",3082,"[[103, 120], [153, 210], [43, 170], [53, 80]]",full
map_0000_trial_03_robots_04_seed_3082_mapcomm_raw,0,3,4,3082,raw,"[[-28.0,-12.0],[-8.0,24.0],[-52.0,8.0],[-48.0,-28.0]]",3082,"[[103, 120], [153, 210], [43, 170], [53, 80]]",full
map_0000_trial_03_robots_06_seed_3102_mapcomm_compressed,0,3,6,3102,compressed,"[[0.0,16.0],[-20.0,20.0],[-56.0,-12.0],[-40.0,-12.0],[-8.0,-4.0],[-56.0,-28.0]]",3102,"[[173, 190], [123, 200], [33, 120], [73, 120], [153, 140], [33, 80]]",full
map_0000_trial_03_robots_06_seed_3102_mapcomm_none,0,3,6,3102,none,"[[0.0,16.0],[-20.0,20.0],[-56.0,-12.0],[-40.0,-12.0],[-8.0,-4.0],[-56.0,-28.0]]",3102,"[[173, 190], [123, 200], [33, 120], [73, 120], [153, 140], [33, 80]]",full
map_0000_trial_03_robots_06_seed_3102_mapcomm_raw,0,3,6,3102,raw,"[[0.0,16.0],[-20.0,20.0],[-56.0,-12.0],[-40.0,-12.0],[-8.0,-4.0],[-56.0,-28.0]]",3102,"[[173, 190], [123, 200], [33, 120], [73, 120], [153, 140], [33, 80]]",full
map_0000_trial_03_robots_08_seed_3122_mapcomm_compressed,0,3,8,3122,compressed,"[[-48.0,28.0],[4.0,-52.0],[-44.0,-28.0],[-4.0,-24.0],[-20.0,20.0],[-32.0,24.0],[8.0,-32.0],[-8.0,12.0]]",3122,"[[53, 220], [183, 20], [63, 80], [163, 90], [123, 200], [93, 210], [193, 70], [153, 180]]",full
map_0000_trial_03_robots_08_seed_3122_mapcomm_none,0,3,8,3122,none,"[[-48.0,28.0],[4.0,-52.0],[-44.0,-28.0],[-4.0,-24.0],[-20.0,20.0],[-32.0,24.0],[8.0,-32.0],[-8.0,12.0]]",3122,"[[53, 220], [183, 20], [63, 80], [163, 90], [123, 200], [93, 210], [193, 70], [153, 180]]",full
map_0000_trial_03_robots_08_seed_3122_mapcomm_raw,0,3,8,3122,raw,"[[-48.0,28.0],[4.0,-52.0],[-44.0,-28.0],[-4.0,-24.0],[-20.0,20.0],[-32.0,24.0],[8.0,-32.0],[-8.0,12.0]]",3122,"[[53, 220], [183, 20], [63, 80], [163, 90], [123, 200], [93, 210], [193, 70], [153, 180]]",full
map_0001_trial_00_robots_02_seed_100062_mapcomm_compressed,1,0,2,100062,compressed,"[[20.0,-16.0],[12.0,20.0]]",100062,"[[223, 123], [203, 213]]",full
map_0001_trial_00_robots_02_seed_100062_mapcomm_none,1,0,2,100062,none,"[[20.0,-16.0],[12.0,20.0]]",100062,"[[223, 123], [203, 213]]",full
map_0001_trial_00_robots_02_seed_100062_mapcomm_raw,1,0,2,100062,raw,"[[20.0,-16.0],[12.0,20.0]]",100062,"[[223, 123], [203, 213]]",full
map_0001_trial_00_robots_04_seed_100082_mapcomm_compressed,1,0,4,100082,compressed,"[[-36.0,-32.0],[-44.0,-56.0],[8.0,-44.0],[-56.0,-48.0]]",100082,"[[83, 83], [63, 23], [193, 53], [33, 43]]",full
map_0001_trial_00_robots_04_seed_100082_mapcomm_none,1,0,4,100082,none,"[[-36.0,-32.0],[-44.0,-56.0],[8.0,-44.0],[-56.0,-48.0]]",100082,"[[83, 83], [63, 23], [193, 53], [33, 43]]",full
map_0001_trial_00_robots_04_seed_100082_mapcomm_raw,1,0,4,100082,raw,"[[-36.0,-32.0],[-44.0,-56.0],[8.0,-44.0],[-56.0,-48.0]]",100082,"[[83, 83], [63, 23], [193, 53], [33, 43]]",full
map_0001_trial_00_robots_06_seed_100102_mapcomm_compressed,1,0,6,100102,compressed,"[[-48.0,8.0],[-40.0,-44.0],[-32.0,-24.0],[-4.0,0.0],[-20.0,-48.0],[-4.0,24.0]]",100102,"[[53, 183], [73, 53], [93, 103], [163, 163], [123, 43], [163, 223]]",full
map_0001_trial_00_robots_06_seed_100102_mapcomm_none,1,0,6,100102,none,"[[-48.0,8.0],[-40.0,-44.0],[-32.0,-24.0],[-4.0,0.0],[-20.0,-48.0],[-4.0,24.0]]",100102,"[[53, 183], [73, 53], [93, 103], [163, 163], [123, 43], [163, 223]]",full
map_0001_trial_00_robots_06_seed_100102_mapcomm_raw,1,0,6,100102,raw,"[[-48.0,8.0],[-40.0,-44.0],[-32.0,-24.0],[-4.0,0.0],[-20.0,-48.0],[-4.0,24.0]]",100102,"[[53, 183], [73, 53], [93, 103], [163, 163], [123, 43], [163, 223]]",full
map_0001_trial_00_robots_08_seed_100122_mapcomm_compressed,1,0,8,100122,compressed,"[[-20.0,-52.0],[-52.0,0.0],[16.0,4.0],[-36.0,-40.0],[-60.0,-16.0],[-4.0,-8.0],[12.0,24.0],[8.0,-56.0]]",100122,"[[123, 33], [43, 163], [213, 173], [83, 63], [23, 123], [163, 143], [203, 223], [193, 23]]",full
map_0001_trial_00_robots_08_seed_100122_mapcomm_none,1,0,8,100122,none,"[[-20.0,-52.0],[-52.0,0.0],[16.0,4.0],[-36.0,-40.0],[-60.0,-16.0],[-4.0,-8.0],[12.0,24.0],[8.0,-56.0]]",100122,"[[123, 33], [43, 163], [213, 173], [83, 63], [23, 123], [163, 143], [203, 223], [193, 23]]",full
map_0001_trial_00_robots_08_seed_100122_mapcomm_raw,1,0,8,100122,raw,"[[-20.0,-52.0],[-52.0,0.0],[16.0,4.0],[-36.0,-40.0],[-60.0,-16.0],[-4.0,-8.0],[12.0,24.0],[8.0,-56.0]]",100122,"[[123, 33], [43, 163], [213, 173], [83, 63], [23, 123], [163, 143], [203, 223], [193, 23]]",full
map_0001_trial_01_robots_02_seed_101062_mapcomm_compressed,1,1,2,101062,compressed,"[[20.0,-16.0],[-52.0,-16.0]]",101062,"[[223, 123], [43, 123]]",full
map_0001_trial_01_robots_02_seed_101062_mapcomm_none,1,1,2,101062,none,"[[20.0,-16.0],[-52.0,-16.0]]",101062,"[[223, 123], [43, 123]]",full
map_0001_trial_01_robots_02_seed_101062_mapcomm_raw,1,1,2,101062,raw,"[[20.0,-16.0],[-52.0,-16.0]]",101062,"[[223, 123], [43, 123]]",full
map_0001_trial_01_robots_04_seed_101082_mapcomm_compressed,1,1,4,101082,compressed,"[[-52.0,-36.0],[-8.0,-40.0],[8.0,-40.0],[-48.0,8.0]]",101082,"[[43, 73], [153, 63], [193, 63], [53, 183]]",full
map_0001_trial_01_robots_04_seed_101082_mapcomm_none,1,1,4,101082,none,"[[-52.0,-36.0],[-8.0,-40.0],[8.0,-40.0],[-48.0,8.0]]",101082,"[[43, 73], [153, 63], [193, 63], [53, 183]]",full
map_0001_trial_01_robots_04_seed_101082_mapcomm_raw,1,1,4,101082,raw,"[[-52.0,-36.0],[-8.0,-40.0],[8.0,-40.0],[-48.0,8.0]]",101082,"[[43, 73], [153, 63], [193, 63], [53, 183]]",full
map_0001_trial_01_robots_06_seed_101102_mapcomm_compressed,1,1,6,101102,compressed,"[[-20.0,-28.0],[-44.0,20.0],[-60.0,-4.0],[-44.0,-52.0],[20.0,0.0],[-28.0,0.0]]",101102,"[[123, 93], [63, 213], [23, 153], [63, 33], [223, 163], [103, 163]]",full
map_0001_trial_01_robots_06_seed_101102_mapcomm_none,1,1,6,101102,none,"[[-20.0,-28.0],[-44.0,20.0],[-60.0,-4.0],[-44.0,-52.0],[20.0,0.0],[-28.0,0.0]]",101102,"[[123, 93], [63, 213], [23, 153], [63, 33], [223, 163], [103, 163]]",full
map_0001_trial_01_robots_06_seed_101102_mapcomm_raw,1,1,6,101102,raw,"[[-20.0,-28.0],[-44.0,20.0],[-60.0,-4.0],[-44.0,-52.0],[20.0,0.0],[-28.0,0.0]]",101102,"[[123, 93], [63, 213], [23, 153], [63, 33], [223, 163], [103, 163]]",full
map_0001_trial_01_robots_08_seed_101122_mapcomm_compressed,1,1,8,101122,compressed,"[[-24.0,4.0],[0.0,-4.0],[-56.0,-40.0],[-52.0,4.0],[-32.0,-40.0],[-44.0,-44.0],[-40.0,-56.0],[12.0,-28.0]]",101122,"[[113, 173], [173, 153], [33, 63], [43, 173], [93, 63], [63, 53], [73, 23], [203, 93]]",full
map_0001_trial_01_robots_08_seed_101122_mapcomm_none,1,1,8,101122,none,"[[-24.0,4.0],[0.0,-4.0],[-56.0,-40.0],[-52.0,4.0],[-32.0,-40.0],[-44.0,-44.0],[-40.0,-56.0],[12.0,-28.0]]",101122,"[[113, 173], [173, 153], [33, 63], [43, 173], [93, 63], [63, 53], [73, 23], [203, 93]]",full
map_0001_trial_01_robots_08_seed_101122_mapcomm_raw,1,1,8,101122,raw,"[[-24.0,4.0],[0.0,-4.0],[-56.0,-40.0],[-52.0,4.0],[-32.0,-40.0],[-44.0,-44.0],[-40.0,-56.0],[12.0,-28.0]]",101122,"[[113, 173], [173, 153], [33, 63], [43, 173], [93, 63], [63, 53], [73, 23], [203, 93]]",full
map_0001_trial_02_robots_02_seed_102062_mapcomm_compressed,1,2,2,102062,compressed,"[[-24.0,-40.0],[-56.0,-36.0]]",102062,"[[113, 63], [33, 73]]",full
map_0001_trial_02_robots_02_seed_102062_mapcomm_none,1,2,2,102062,none,"[[-24.0,-40.0],[-56.0,-36.0]]",102062,"[[113, 63], [33, 73]]",full
map_0001_trial_02_robots_02_seed_102062_mapcomm_raw,1,2,2,102062,raw,"[[-24.0,-40.0],[-56.0,-36.0]]",102062,"[[113, 63], [33, 73]]",full
map_0001_trial_02_robots_04_seed_102082_mapcomm_compressed,1,2,4,102082,compressed,"[[-12.0,-36.0],[24.0,12.0],[-44.0,-24.0],[-64.0,8.0]]",102082,"[[143, 73], [233, 193], [63, 103], [13, 183]]",full
map_0001_trial_02_robots_04_seed_102082_mapcomm_none,1,2,4,102082,none,"[[-12.0,-36.0],[24.0,12.0],[-44.0,-24.0],[-64.0,8.0]]",102082,"[[143, 73], [233, 193], [63, 103], [13, 183]]",full
map_0001_trial_02_robots_04_seed_102082_mapcomm_raw,1,2,4,102082,raw,"[[-12.0,-36.0],[24.0,12.0],[-44.0,-24.0],[-64.0,8.0]]",102082,"[[143, 73], [233, 193], [63, 103], [13, 183]]",full
map_0001_trial_02_robots_06_seed_102102_mapcomm_compressed,1,2,6,102102,compressed,"[[8.0,-60.0],[16.0,8.0],[-56.0,-32.0],[24.0,20.0],[4.0,-8.0],[-20.0,12.0]]",102102,"[[193, 13], [213, 183], [33, 83], [233, 213], [183, 143], [123, 193]]",full
map_0001_trial_02_robots_06_seed_102102_mapcomm_none,1,2,6,102102,none,"[[8.0,-60.0],[16.0,8.0],[-56.0,-32.0],[24.0,20.0],[4.0,-8.0],[-20.0,12.0]]",102102,"[[193, 13], [213, 183], [33, 83], [233, 213], [183, 143], [123, 193]]",full
map_0001_trial_02_robots_06_seed_102102_mapcomm_raw,1,2,6,102102,raw,"[[8.0,-60.0],[16.0,8.0],[-56.0,-32.0],[24.0,20.0],[4.0,-8.0],[-20.0,12.0]]",102102,"[[193, 13], [213, 183], [33, 83], [233, 213], [183, 143], [123, 193]]",full
map_0001_trial_02_robots_08_seed_102122_mapcomm_compressed,1,2,8,102122,compressed,"[[-8.0,-36.0],[16.0,24.0],[-64.0,8.0],[0.0,4.0],[-20.0,20.0],[-44.0,8.0],[-28.0,-32.0],[-4.0,16.0]]",102122,"[[153, 73], [213, 223], [13, 183], [173, 173], [123, 213], [63, 183], [103, 83], [163, 203]]",full
map_0001_trial_02_robots_08_seed_102122_mapcomm_none,1,2,8,102122,none,"[[-8.0,-36.0],[16.0,24.0],[-64.0,8.0],[0.0,4.0],[-20.0,20.0],[-44.0,8.0],[-28.0,-32.0],[-4.0,16.0]]",102122,"[[153, 73], [213, 223], [13, 183], [173, 173], [123, 213], [63, 183], [103, 83], [163, 203]]",full
map_0001_trial_02_robots_08_seed_102122_mapcomm_raw,1,2,8,102122,raw,"[[-8.0,-36.0],[16.0,24.0],[-64.0,8.0],[0.0,4.0],[-20.0,20.0],[-44.0,8.0],[-28.0,-32.0],[-4.0,16.0]]",102122,"[[153, 73], [213, 223], [13, 183], [173, 173], [123, 213], [63, 183], [103, 83], [163, 203]]",full
map_0001_trial_03_robots_02_seed_103062_mapcomm_compressed,1,3,2,103062,compressed,"[[-36.0,20.0],[-24.0,-48.0]]",103062,"[[83, 213], [113, 43]]",full
map_0001_trial_03_robots_02_seed_103062_mapcomm_none,1,3,2,103062,none,"[[-36.0,20.0],[-24.0,-48.0]]",103062,"[[83, 213], [113, 43]]",full
map_0001_trial_03_robots_02_seed_103062_mapcomm_raw,1,3,2,103062,raw,"[[-36.0,20.0],[-24.0,-48.0]]",103062,"[[83, 213], [113, 43]]",full
map_0001_trial_03_robots_04_seed_103082_mapcomm_compressed,1,3,4,103082,compressed,"[[-36.0,-32.0],[-16.0,-52.0],[-56.0,4.0],[-36.0,16.0]]",103082,"[[83, 83], [133, 33], [33, 173], [83, 203]]",full
map_0001_trial_03_robots_04_seed_103082_mapcomm_none,1,3,4,103082,none,"[[-36.0,-32.0],[-16.0,-52.0],[-56.0,4.0],[-36.0,16.0]]",103082,"[[83, 83], [133, 33], [33, 173], [83, 203]]",full
map_0001_trial_03_robots_04_seed_103082_mapcomm_raw,1,3,4,103082,raw,"[[-36.0,-32.0],[-16.0,-52.0],[-56.0,4.0],[-36.0,16.0]]",103082,"[[83, 83], [133, 33], [33, 173], [83, 203]]",full
map_0001_trial_03_robots_06_seed_103102_mapcomm_compressed,1,3,6,103102,compressed,"[[-56.0,4.0],[-16.0,-28.0],[12.0,8.0],[12.0,20.0],[-44.0,28.0],[-48.0,-32.0]]",103102,"[[33, 173], [133, 93], [203, 183], [203, 213], [63, 233], [53, 83]]",full
map_0001_trial_03_robots_06_seed_103102_mapcomm_none,1,3,6,103102,none,"[[-56.0,4.0],[-16.0,-28.0],[12.0,8.0],[12.0,20.0],[-44.0,28.0],[-48.0,-32.0]]",103102,"[[33, 173], [133, 93], [203, 183], [203, 213], [63, 233], [53, 83]]",full
map_0001_trial_03_robots_06_seed_103102_mapcomm_raw,1,3,6,103102,raw,"[[-56.0,4.0],[-16.0,-28.0],[12.0,8.0],[12.0,20.0],[-44.0,28.0],[-48.0,-32.0]]",103102,"[[33, 173], [133, 93], [203, 183], [203, 213], [63, 233], [53, 83]]",full
map_0001_trial_03_robots_08_seed_103122_mapcomm_compressed,1,3,8,103122,compressed,"[[-32.0,4.0],[-12.0,-24.0],[-8.0,4.0],[-44.0,-56.0],[-52.0,4.0],[24.0,8.0],[-8.0,-56.0],[12.0,24.0]]",103122,"[[93, 173], [143, 103], [153, 173], [63, 23], [43, 173], [233, 183], [153, 23], [203, 223]]",full
map_0001_trial_03_robots_08_seed_103122_mapcomm_none,1,3,8,103122,none,"[[-32.0,4.0],[-12.0,-24.0],[-8.0,4.0],[-44.0,-56.0],[-52.0,4.0],[24.0,8.0],[-8.0,-56.0],[12.0,24.0]]",103122,"[[93, 173], [143, 103], [153, 173], [63, 23], [43, 173], [233, 183], [153, 23], [203, 223]]",full
map_0001_trial_03_robots_08_seed_103122_mapcomm_raw,1,3,8,103122,raw,"[[-32.0,4.0],[-12.0,-24.0],[-8.0,4.0],[-44.0,-56.0],[-52.0,4.0],[24.0,8.0],[-8.0,-56.0],[12.0,24.0]]",103122,"[[93, 173], [143, 103], [153, 173], [63, 23], [43, 173], [233, 183], [153, 23], [203, 223]]",full
map_0002_trial_00_robots_02_seed_200062_mapcomm_compressed,2,0,2,200062,compressed,"[[-20.0,-48.0],[-48.0,-32.0]]",200062,"[[123, 30], [53, 70]]",full
map_0002_trial_00_robots_02_seed_200062_mapcomm_none,2,0,2,200062,none,"[[-20.0,-48.0],[-48.0,-32.0]]",200062,"[[123, 30], [53, 70]]",full
map_0002_trial_00_robots_02_seed_200062_mapcomm_raw,2,0,2,200062,raw,"[[-20.0,-48.0],[-48.0,-32.0]]",200062,"[[123, 30], [53, 70]]",full
map_0002_trial_00_robots_04_seed_200082_mapcomm_compressed,2,0,4,200082,compressed,"[[24.0,-16.0],[-24.0,20.0],[-48.0,4.0],[24.0,-40.0]]",200082,"[[233, 110], [113, 200], [53, 160], [233, 50]]",full
map_0002_trial_00_robots_04_seed_200082_mapcomm_none,2,0,4,200082,none,"[[24.0,-16.0],[-24.0,20.0],[-48.0,4.0],[24.0,-40.0]]",200082,"[[233, 110], [113, 200], [53, 160], [233, 50]]",full
map_0002_trial_00_robots_04_seed_200082_mapcomm_raw,2,0,4,200082,raw,"[[24.0,-16.0],[-24.0,20.0],[-48.0,4.0],[24.0,-40.0]]",200082,"[[233, 110], [113, 200], [53, 160], [233, 50]]",full
map_0002_trial_00_robots_06_seed_200102_mapcomm_compressed,2,0,6,200102,compressed,"[[20.0,-24.0],[-20.0,-8.0],[-44.0,-36.0],[-24.0,20.0],[-32.0,-20.0],[0.0,-36.0]]",200102,"[[223, 90], [123, 130], [63, 60], [113, 200], [93, 100], [173, 60]]",full
